119,,,,,,,,,,,,,,,,,,,,,J6073,2243,WINDOW
120,,,,,,,,,,,,,,,,,,,,,J6083,2518,WINDOW
121,,,,,,,,,,,,,,,,,,,,,J6545,1365,WINDOW
122,,,,,,,,,,,,,,,,,,,,,J6560,1831,WINDOW
123,,,,,,,,,,,,,,,,,,,,,J6561,1902,WINDOW
124,,,,,,,,,,,,,,,,,,,,,J8360,1830,WINDOW
125,,,,,,,,,,,,,,,,,,,,,J8361,1902,WINDOW
126,,,,,,,,,,,,,,,,,,,,,J8370,2138,WINDOW
127,,,,,,,,,,,,,,,,,,,,,J8371,2176,WINDOW
128,,,,,,,,,,,,,,,,,,,,,J8376,2322,WINDOW
129,,,,,,,,,,,,,,,,,,,,,J8550,1515,WINDOW
130,,,,,,,,,,,,,,,,,,,,,J8560,1831,WINDOW
131,,,,,,,,,,,,,,,,,,,,,J8615T,469,WINDOW
132,,,,,,,,,,,,,,,,,,,,,J8615T,469,WINDOW
133,,,,,,,,,,,,,,,,,,,,,J8630T,908,WINDOW
134,,,,,,,,,,,,,,,,,,,,,J8660T,1830,WINDOW
135,,,,,,,,,,,,,,,,,,,,,J8661T,1902,WINDOW
136,,,,,,,,,,,,,,,,,,,,,J8670T,2138,WINDOW
137,,,,,,,,,,,,,,,,,,,,,J8671T,2176,WINDOW
138,,,,,,,,,,,,,,,,,,,,,J8676T,2322,WINDOW
139,,,,,,,,,,,,,,,,,,,,,J8645,1364,WINDOW
140,,,,,,,,,,,,,,,,,,,,,J8650,1514,WINDOW
141,,,,,,,,,,,,,,,,,,,,,J8660,1830,WINDOW
142,,,,,,,,,,,,,,,,,,,,,J8661,1902,WINDOW
143,,,,,,,,,,,,,,,,,,,,,J8670,2138,WINDOW
144,,,,,,,,,,,,,,,,,,,,,J8671,2176,WINDOW
145,,,,,,,,,,,,,,,,,,,,,J8676,2322,WINDOW
146,,,,,,,,,,,,,,,,,,,,,J9015,470,WINDOW
147,,,,,,,,,,,,,,,,,,,,,J9045,1365,WINDOW
148,,,,,,,,,,,,,,,,,,,,,J9050,1515,WINDOW
